,arrived,departed,reward,round,steps,time
0,1.0,14.0,1.0,0.0,1600.0,2019-12-04 22:04:12.494325
1,2.0,14.0,1.0,0.0,1600.0,2019-12-04 22:04:37.684716
2,2.0,14.0,0.0,0.0,1600.0,2019-12-04 22:04:59.345126
3,2.0,14.0,0.0,0.0,1600.0,2019-12-04 22:05:16.571060
4,3.0,14.0,1.0,0.0,1600.0,2019-12-04 22:05:38.009904
5,3.0,14.0,0.0,0.0,1600.0,2019-12-04 22:05:54.956549
6,4.0,14.0,1.0,0.0,1600.0,2019-12-04 22:06:14.807880
7,5.0,14.0,1.0,0.0,1600.0,2019-12-04 22:06:34.579537
8,6.0,14.0,1.0,0.0,1600.0,2019-12-04 22:06:55.222141
9,6.0,14.0,0.0,0.0,1600.0,2019-12-04 22:07:21.873784
10,6.0,14.0,0.0,0.0,1600.0,2019-12-04 22:07:43.303489
11,6.0,14.0,0.0,0.0,1600.0,2019-12-04 22:08:04.647417
12,8.0,14.0,2.0,0.0,1600.0,2019-12-04 22:08:22.296128
13,9.0,14.0,1.0,0.0,1600.0,2019-12-04 22:08:40.296721
14,10.0,14.0,1.0,0.0,1600.0,2019-12-04 22:08:58.845696
15,10.0,14.0,0.0,0.0,1600.0,2019-12-04 22:09:21.316284
16,10.0,14.0,0.0,0.0,1600.0,2019-12-04 22:09:41.516919
17,10.0,14.0,0.0,0.0,1600.0,2019-12-04 22:10:11.375210
18,10.0,14.0,0.0,0.0,1600.0,2019-12-04 22:10:41.278017
19,10.0,14.0,0.0,0.0,1600.0,2019-12-04 22:11:00.648429
20,1.0,14.0,1.0,1.0,1600.0,2019-12-04 22:11:35.728988
21,1.0,14.0,0.0,1.0,1600.0,2019-12-04 22:12:10.616133
22,1.0,14.0,0.0,1.0,1600.0,2019-12-04 22:12:42.107702
23,1.0,14.0,0.0,1.0,1600.0,2019-12-04 22:13:13.123510
24,1.0,14.0,0.0,1.0,1600.0,2019-12-04 22:13:41.438620
25,1.0,14.0,0.0,1.0,1600.0,2019-12-04 22:14:17.006007
26,1.0,14.0,0.0,1.0,1600.0,2019-12-04 22:14:46.960466
27,1.0,14.0,0.0,1.0,1600.0,2019-12-04 22:15:15.852576
28,1.0,14.0,0.0,1.0,1600.0,2019-12-04 22:15:50.897542
29,1.0,14.0,0.0,1.0,1600.0,2019-12-04 22:16:24.418179
30,1.0,14.0,0.0,1.0,1600.0,2019-12-04 22:17:03.990900
31,1.0,14.0,0.0,1.0,1600.0,2019-12-04 22:17:34.987195
32,1.0,14.0,0.0,1.0,1600.0,2019-12-04 22:18:10.831237
33,2.0,14.0,1.0,1.0,1600.0,2019-12-04 22:18:46.266206
34,3.0,14.0,1.0,1.0,1600.0,2019-12-04 22:19:14.692729
35,3.0,14.0,0.0,1.0,1600.0,2019-12-04 22:19:50.564472
36,4.0,14.0,1.0,1.0,1600.0,2019-12-04 22:20:15.119635
37,4.0,14.0,0.0,1.0,1600.0,2019-12-04 22:20:46.980147
38,4.0,14.0,0.0,1.0,1600.0,2019-12-04 22:21:21.486672
39,4.0,14.0,0.0,1.0,1600.0,2019-12-04 22:21:56.888286
40,0.0,14.0,0.0,2.0,1600.0,2019-12-04 22:22:30.016735
41,1.0,14.0,1.0,2.0,1600.0,2019-12-04 22:23:19.339622
