,arrived,departed,reward,round,steps,time
0,0.0,14.0,0.0,0.0,1600.0,2019-12-04 09:13:55.143374
1,1.0,14.0,1.0,0.0,1600.0,2019-12-04 09:14:10.437317
2,2.0,14.0,1.0,0.0,1600.0,2019-12-04 09:14:23.580788
3,3.0,14.0,1.0,0.0,1600.0,2019-12-04 09:14:36.604100
4,3.0,14.0,0.0,0.0,1600.0,2019-12-04 09:14:49.623993
5,5.0,14.0,2.0,0.0,1600.0,2019-12-04 09:15:00.998677
6,5.0,14.0,0.0,0.0,1600.0,2019-12-04 09:15:15.649165
7,6.0,14.0,1.0,0.0,1600.0,2019-12-04 09:15:28.629579
8,6.0,14.0,0.0,0.0,1600.0,2019-12-04 09:15:41.740593
9,7.0,14.0,1.0,0.0,1600.0,2019-12-04 09:15:57.161118
10,7.0,14.0,0.0,0.0,1600.0,2019-12-04 09:16:11.659165
11,7.0,14.0,0.0,0.0,1600.0,2019-12-04 09:16:25.779592
12,9.0,14.0,2.0,0.0,1600.0,2019-12-04 09:16:39.519535
13,10.0,14.0,1.0,0.0,1600.0,2019-12-04 09:16:54.328412
14,10.0,14.0,0.0,0.0,1600.0,2019-12-04 09:17:07.775307
15,11.0,14.0,1.0,0.0,1600.0,2019-12-04 09:17:22.535634
16,12.0,14.0,1.0,0.0,1600.0,2019-12-04 09:17:38.070712
17,12.0,14.0,0.0,0.0,1600.0,2019-12-04 09:17:53.276453
18,12.0,14.0,0.0,0.0,1600.0,2019-12-04 09:18:10.391109
19,12.0,14.0,0.0,0.0,1600.0,2019-12-04 09:18:23.541164
20,0.0,14.0,0.0,1.0,1600.0,2019-12-04 09:18:40.075386
21,2.0,14.0,2.0,1.0,1600.0,2019-12-04 09:18:55.989359
22,3.0,14.0,1.0,1.0,1600.0,2019-12-04 09:19:09.309305
23,3.0,14.0,0.0,1.0,1600.0,2019-12-04 09:19:21.764019
24,3.0,14.0,0.0,1.0,1600.0,2019-12-04 09:19:34.949050
25,4.0,14.0,1.0,1.0,1600.0,2019-12-04 09:19:47.340110
26,5.0,14.0,1.0,1.0,1600.0,2019-12-04 09:20:00.858209
27,5.0,14.0,0.0,1.0,1600.0,2019-12-04 09:20:13.687680
28,5.0,14.0,0.0,1.0,1600.0,2019-12-04 09:20:28.326050
29,5.0,14.0,0.0,1.0,1600.0,2019-12-04 09:20:43.425826
30,5.0,14.0,0.0,1.0,1600.0,2019-12-04 09:20:58.543730
31,5.0,14.0,0.0,1.0,1600.0,2019-12-04 09:21:14.027501
32,7.0,14.0,2.0,1.0,1600.0,2019-12-04 09:21:30.026923
33,8.0,14.0,1.0,1.0,1600.0,2019-12-04 09:21:46.361596
34,8.0,14.0,0.0,1.0,1600.0,2019-12-04 09:21:59.903545
35,10.0,14.0,2.0,1.0,1600.0,2019-12-04 09:22:13.110375
36,10.0,14.0,0.0,1.0,1600.0,2019-12-04 09:22:26.900514
37,10.0,14.0,0.0,1.0,1600.0,2019-12-04 09:22:40.530194
38,10.0,14.0,0.0,1.0,1600.0,2019-12-04 09:22:56.575633
39,11.0,14.0,1.0,1.0,1600.0,2019-12-04 09:23:09.248419
40,0.0,14.0,0.0,2.0,1600.0,2019-12-04 09:23:25.183275
41,2.0,14.0,2.0,2.0,1600.0,2019-12-04 09:23:40.393449
42,2.0,14.0,0.0,2.0,1600.0,2019-12-04 09:23:55.335379
43,4.0,14.0,2.0,2.0,1600.0,2019-12-04 09:24:06.876067
44,5.0,14.0,1.0,2.0,1600.0,2019-12-04 09:24:20.790179
45,5.0,14.0,0.0,2.0,1600.0,2019-12-04 09:24:33.400286
46,7.0,14.0,2.0,2.0,1600.0,2019-12-04 09:24:45.694421
47,7.0,14.0,0.0,2.0,1600.0,2019-12-04 09:24:58.386315
48,8.0,14.0,1.0,2.0,1600.0,2019-12-04 09:25:13.127258
49,9.0,14.0,1.0,2.0,1600.0,2019-12-04 09:25:28.301244
50,10.0,14.0,1.0,2.0,1600.0,2019-12-04 09:25:43.125292
51,11.0,14.0,1.0,2.0,1600.0,2019-12-04 09:25:57.183270
