,arrived,departed,reward,round,steps,time
0,1.0,14.0,1.0,0.0,1600.0,2019-12-04 09:15:01.043123
1,2.0,14.0,1.0,0.0,1600.0,2019-12-04 09:15:20.971877
2,2.0,14.0,0.0,0.0,1600.0,2019-12-04 09:15:43.625920
3,2.0,14.0,0.0,0.0,1600.0,2019-12-04 09:15:58.344276
4,3.0,14.0,1.0,0.0,1600.0,2019-12-04 09:16:16.248328
5,5.0,14.0,2.0,0.0,1600.0,2019-12-04 09:16:29.118411
6,6.0,14.0,1.0,0.0,1600.0,2019-12-04 09:16:46.866464
7,6.0,14.0,0.0,0.0,1600.0,2019-12-04 09:17:04.079739
8,8.0,14.0,2.0,0.0,1600.0,2019-12-04 09:17:22.187837
9,9.0,14.0,1.0,0.0,1600.0,2019-12-04 09:17:44.518697
10,9.0,14.0,0.0,0.0,1600.0,2019-12-04 09:18:05.902021
11,10.0,14.0,1.0,0.0,1600.0,2019-12-04 09:18:24.224276
12,11.0,14.0,1.0,0.0,1600.0,2019-12-04 09:18:44.162904
13,12.0,14.0,1.0,0.0,1600.0,2019-12-04 09:19:03.898152
14,12.0,14.0,0.0,0.0,1600.0,2019-12-04 09:19:26.172103
15,14.0,14.0,2.0,0.0,1600.0,2019-12-04 09:19:45.396387
16,14.0,14.0,0.0,0.0,1600.0,2019-12-04 09:20:07.878616
17,15.0,14.0,1.0,0.0,1600.0,2019-12-04 09:20:27.654953
18,15.0,14.0,0.0,0.0,1600.0,2019-12-04 09:20:52.489215
19,16.0,14.0,1.0,0.0,1600.0,2019-12-04 09:21:12.792853
20,1.0,14.0,1.0,1.0,1600.0,2019-12-04 09:21:39.845645
21,2.0,14.0,1.0,1.0,1600.0,2019-12-04 09:22:05.722875
22,3.0,14.0,1.0,1.0,1600.0,2019-12-04 09:22:25.816765
23,3.0,14.0,0.0,1.0,1600.0,2019-12-04 09:22:44.289232
24,3.0,14.0,0.0,1.0,1600.0,2019-12-04 09:23:09.029290
25,3.0,14.0,0.0,1.0,1600.0,2019-12-04 09:23:30.749777
26,4.0,14.0,1.0,1.0,1600.0,2019-12-04 09:23:51.296338
27,5.0,14.0,1.0,1.0,1600.0,2019-12-04 09:24:11.254144
28,5.0,14.0,0.0,1.0,1600.0,2019-12-04 09:24:32.503027
29,6.0,14.0,1.0,1.0,1600.0,2019-12-04 09:25:00.121899
30,7.0,14.0,1.0,1.0,1600.0,2019-12-04 09:25:20.934945
31,7.0,14.0,0.0,1.0,1600.0,2019-12-04 09:25:39.176938
32,8.0,14.0,1.0,1.0,1600.0,2019-12-04 09:25:56.767931
33,8.0,14.0,0.0,1.0,1600.0,2019-12-04 09:26:19.201673
34,8.0,14.0,0.0,1.0,1600.0,2019-12-04 09:26:41.023271
35,8.0,14.0,0.0,1.0,1600.0,2019-12-04 09:27:05.443060
36,8.0,14.0,0.0,1.0,1600.0,2019-12-04 09:27:26.065408
37,8.0,14.0,0.0,1.0,1600.0,2019-12-04 09:27:47.004653
38,8.0,14.0,0.0,1.0,1600.0,2019-12-04 09:28:14.551239
39,9.0,14.0,1.0,1.0,1600.0,2019-12-04 09:28:33.859598
40,0.0,14.0,0.0,2.0,1600.0,2019-12-04 09:28:56.889745
41,2.0,14.0,2.0,2.0,1600.0,2019-12-04 09:29:22.485504
42,2.0,14.0,0.0,2.0,1600.0,2019-12-04 09:29:48.286020
43,2.0,14.0,0.0,2.0,1600.0,2019-12-04 09:30:12.964640
44,2.0,14.0,0.0,2.0,1600.0,2019-12-04 09:30:29.115169
45,4.0,14.0,2.0,2.0,1600.0,2019-12-04 09:30:48.829004
46,4.0,14.0,0.0,2.0,1600.0,2019-12-04 09:31:11.812734
47,4.0,14.0,0.0,2.0,1600.0,2019-12-04 09:31:37.023575
48,4.0,14.0,0.0,2.0,1600.0,2019-12-04 09:31:58.242091
49,4.0,14.0,0.0,2.0,1600.0,2019-12-04 09:32:20.485859
50,6.0,14.0,2.0,2.0,1600.0,2019-12-04 09:32:40.518653
51,6.0,14.0,0.0,2.0,1600.0,2019-12-04 09:33:02.875461
52,7.0,14.0,1.0,2.0,1600.0,2019-12-04 09:33:25.724021
53,7.0,14.0,0.0,2.0,1600.0,2019-12-04 09:33:43.570463
54,8.0,14.0,1.0,2.0,1600.0,2019-12-04 09:33:59.639829
55,9.0,14.0,1.0,2.0,1600.0,2019-12-04 09:34:23.790234
56,10.0,14.0,1.0,2.0,1600.0,2019-12-04 09:34:43.121381
57,10.0,14.0,0.0,2.0,1600.0,2019-12-04 09:35:01.239143
