,arrived,departed,reward,round,steps,time
0,1.0,14.0,1.0,0.0,1600.0,2019-12-06 12:11:50.275567
1,2.0,14.0,1.0,0.0,1600.0,2019-12-06 12:12:15.970302
2,2.0,14.0,0.0,0.0,1600.0,2019-12-06 12:12:37.604519
3,2.0,14.0,0.0,0.0,1600.0,2019-12-06 12:12:58.126571
4,2.0,14.0,0.0,0.0,1600.0,2019-12-06 12:13:20.047450
5,2.0,14.0,0.0,0.0,1600.0,2019-12-06 12:13:40.719927
6,3.0,14.0,1.0,0.0,1600.0,2019-12-06 12:13:59.842128
7,3.0,14.0,0.0,0.0,1600.0,2019-12-06 12:14:21.921052
8,3.0,14.0,0.0,0.0,1600.0,2019-12-06 12:14:46.408176
9,3.0,14.0,0.0,0.0,1600.0,2019-12-06 12:15:09.815093
10,4.0,14.0,1.0,0.0,1600.0,2019-12-06 12:15:30.769132
11,5.0,14.0,1.0,0.0,1600.0,2019-12-06 12:15:49.065826
12,5.0,14.0,0.0,0.0,1600.0,2019-12-06 12:16:13.558931
13,6.0,14.0,1.0,0.0,1600.0,2019-12-06 12:16:40.073570
14,6.0,14.0,0.0,0.0,1600.0,2019-12-06 12:16:55.586881
15,7.0,14.0,1.0,0.0,1600.0,2019-12-06 12:17:18.901652
16,7.0,14.0,0.0,0.0,1600.0,2019-12-06 12:17:38.543553
17,8.0,14.0,1.0,0.0,1600.0,2019-12-06 12:18:01.080453
18,8.0,14.0,0.0,0.0,1600.0,2019-12-06 12:18:26.465996
19,9.0,14.0,1.0,0.0,1600.0,2019-12-06 12:18:51.008280
20,0.0,14.0,0.0,1.0,1600.0,2019-12-06 12:19:18.371515
21,0.0,14.0,0.0,1.0,1600.0,2019-12-06 12:19:44.263539
22,0.0,14.0,0.0,1.0,1600.0,2019-12-06 12:20:08.622369
23,0.0,14.0,0.0,1.0,1600.0,2019-12-06 12:20:28.212196
24,0.0,14.0,0.0,1.0,1600.0,2019-12-06 12:20:51.403679
25,0.0,14.0,0.0,1.0,1600.0,2019-12-06 12:21:10.201732
