,num_agents,agents_done,total_reward,nr_start_goal,nr_extra,grid_width,grid_height,evaluation_round,steps_needed
0,1,1,-131.0,2,1,20,20,1,133
1,1,1,-179.0,2,1,20,20,1,181
2,1,1,-20.0,2,1,20,20,1,22
3,1,1,-6.0,2,1,20,20,1,8
4,1,1,-4.0,2,1,20,20,1,6
5,1,1,-66.0,2,1,20,20,1,68
6,1,1,-91.0,2,1,20,20,1,93
7,1,1,-4.0,2,1,20,20,1,6
8,1,1,-17.0,2,1,20,20,1,19
9,1,1,-5.0,2,1,20,20,1,7
10,1,0,-200.0,2,1,20,20,1,200
11,1,1,-8.0,2,1,20,20,1,10
12,1,1,-2.0,2,1,20,20,1,4
13,1,0,-200.0,2,1,20,20,1,200
14,1,1,-10.0,2,1,20,20,1,12
15,1,1,-37.0,2,1,20,20,1,39
16,1,1,0.0,2,1,20,20,1,2
17,1,0,-200.0,2,1,20,20,1,200
18,1,1,-19.0,2,1,20,20,1,21
19,1,1,1.0,2,1,20,20,1,1
20,1,0,-200.0,6,6,20,20,2,200
21,1,1,-171.0,6,6,20,20,2,173
22,1,0,-200.0,6,6,20,20,2,200
23,1,1,-70.0,6,6,20,20,2,72
24,1,1,-157.0,6,6,20,20,2,159
25,1,0,-200.0,6,6,20,20,2,200
26,1,1,-117.0,6,6,20,20,2,119
27,1,1,-77.0,6,6,20,20,2,79
28,1,1,-28.0,6,6,20,20,2,30
29,1,1,-9.0,6,6,20,20,2,11
30,1,1,-67.0,6,6,20,20,2,68
31,1,1,-93.0,6,6,20,20,2,92
32,1,0,-202.0,6,6,20,20,2,200
33,1,1,-112.0,6,6,20,20,2,110
34,1,1,-138.0,6,6,20,20,2,140
35,1,1,-2.0,6,6,20,20,2,4
36,2,0,-400.0,6,6,20,20,3,200
37,2,0,-400.0,6,6,20,20,3,200
38,2,0,-400.0,6,6,20,20,3,200
39,2,0,-400.0,6,6,20,20,3,200
40,2,0,-400.0,6,6,20,20,3,200
41,2,1,-219.0,6,6,20,20,3,200
42,2,0,-400.0,6,6,20,20,3,200
43,2,2,-151.0,6,6,20,20,3,153
44,2,2,-179.0,6,6,20,20,3,108
45,2,1,-209.0,6,6,20,20,3,200
46,2,0,-400.0,6,6,20,20,3,200
47,2,1,-392.0,6,6,20,20,3,200
48,2,0,-400.0,6,6,20,20,3,200
49,2,2,-95.0,6,6,20,20,3,67
50,2,0,-400.0,6,6,20,20,3,200
51,2,2,-57.0,6,6,20,20,3,54
