,num_agents,agents_done,total_reward,nr_start_goal,nr_extra,grid_width,grid_height,evaluation_round,steps_needed
0,1,1,-72.0,2,1,20,20,1,74
1,1,1,-30.0,2,1,20,20,1,32
2,1,1,-83.0,2,1,20,20,1,85
3,1,1,-7.0,2,1,20,20,1,9
4,1,1,0.0,2,1,20,20,1,2
5,1,1,-69.0,2,1,20,20,1,71
6,1,0,-200.0,2,1,20,20,1,200
7,1,1,-2.0,2,1,20,20,1,4
8,1,1,-12.0,2,1,20,20,1,14
9,1,1,-4.0,2,1,20,20,1,6
10,1,1,-53.0,2,1,20,20,1,55
11,1,1,-7.0,2,1,20,20,1,9
12,1,1,-3.0,2,1,20,20,1,5
13,1,1,-55.0,2,1,20,20,1,57
14,1,1,-16.0,2,1,20,20,1,18
15,1,1,-47.0,2,1,20,20,1,49
16,1,1,0.0,2,1,20,20,1,2
17,1,1,-163.0,2,1,20,20,1,165
18,1,1,-20.0,2,1,20,20,1,22
19,1,1,-2.0,2,1,20,20,1,4
20,1,0,-201.0,6,6,20,20,2,200
21,1,1,-34.0,6,6,20,20,2,36
22,1,0,-200.0,6,6,20,20,2,200
23,1,1,-50.0,6,6,20,20,2,52
24,1,0,-200.0,6,6,20,20,2,200
25,1,1,-52.0,6,6,20,20,2,54
26,1,1,-51.0,6,6,20,20,2,53
27,1,0,-200.0,6,6,20,20,2,200
28,1,1,-28.0,6,6,20,20,2,30
29,1,1,-33.0,6,6,20,20,2,35
30,1,1,-37.0,6,6,20,20,2,39
31,1,0,-206.0,6,6,20,20,2,200
32,1,0,-200.0,6,6,20,20,2,200
33,1,1,-56.0,6,6,20,20,2,57
34,1,1,-44.0,6,6,20,20,2,46
35,1,1,-6.0,6,6,20,20,2,8
36,2,1,-277.0,6,6,20,20,3,200
37,2,2,-167.0,6,6,20,20,3,125
38,2,0,-400.0,6,6,20,20,3,200
39,2,0,-400.0,6,6,20,20,3,200
40,2,0,-400.0,6,6,20,20,3,200
41,2,1,-260.0,6,6,20,20,3,200
42,2,1,-205.0,6,6,20,20,3,200
43,2,1,-200.0,6,6,20,20,3,200
44,2,2,-225.0,6,6,20,20,3,199
45,2,1,-211.0,6,6,20,20,3,200
46,2,0,-400.0,6,6,20,20,3,200
47,2,0,-404.0,6,6,20,20,3,200
48,2,0,-400.0,6,6,20,20,3,200
49,2,1,-222.0,6,6,20,20,3,200
50,2,0,-400.0,6,6,20,20,3,200
51,2,1,-284.0,6,6,20,20,3,200
52,4,1,-746.0,6,6,20,20,4,200
53,4,0,-800.0,6,6,20,20,4,200
54,4,0,-800.0,6,6,20,20,4,200
55,4,0,-802.0,6,6,20,20,4,200
56,4,1,-754.0,6,6,20,20,4,200
57,6,0,-1205.0,6,6,60,60,5,200
58,6,0,-1211.0,6,6,60,60,5,200
59,6,0,-1204.0,6,6,60,60,5,200
60,6,0,-1207.0,6,6,60,60,5,200
